keyframe_idx,x,y,theta
151,0.20238388904092572,-11.271251203006138,2.338120932152475
152,0.007237664237746684,-11.077220234110575,2.280348655332477
153,-0.11954885659268132,-10.898422304480047,2.09802149004098
154,-0.26107847496254644,-10.605928480991846,2.012702930850637
155,-0.38372149868015126,-10.284915463757505,1.929754896257193
156,-0.48341863792917605,-10.006559429135626,1.9151190382276175
157,-0.585499956429436,-9.735499122003556,1.781448556527012
158,-0.6311942554740987,-9.39385388045459,1.69559073515798
159,-0.6719874870164966,-9.094221942715096,1.6892825657051567
160,-0.6778264069040161,-8.830936962885458,1.6579139671968894
161,-0.7042340304716515,-8.530985427338042,1.6476334364035183
162,-0.7050724143971712,-8.249582744757777,1.6005996297241964
163,-0.6962143883458463,-8.08438460383756,1.5957083765322841
164,-0.6845325852620167,-7.74451735814286,1.5553278318342898
165,-0.6624987863887519,-7.446804157568471,1.5169658469636487
166,-0.5871432496495761,-7.108830976797308,1.484437667833955
167,-0.5279252476829511,-6.826343788455969,1.4495334473637063
168,-0.4969245899249938,-6.53065800956615,1.5489981432327236
169,-0.48314602331263745,-6.269842264184814,1.5544192809628135
170,-0.46639029846195873,-5.9629320727996475,1.5696360117680679
171,-0.4443053273259539,-5.6769319271464935,1.5657652034772913
172,-0.4381008925340056,-5.352306492427828,1.5798406141755743
173,-0.4345616847161834,-5.067401091018494,1.583826878312915
174,-0.44225207081219997,-4.771250056436465,1.5977233126862502
175,-0.43646393782283316,-4.496167104834339,1.5992053312880312
176,-0.4382889882734274,-4.20029670321229,1.5950172648933598
177,-0.4428966423803381,-3.892723886950771,1.6056134175760262
178,-0.43996807857406417,-3.600300778811324,1.6044418552295892
179,-0.4419443532803213,-3.289083241888061,1.6154775640156318
180,-0.43633938611383083,-3.0197198177193223,1.6235123730193077
181,-0.43648044140706405,-2.7182216815393114,1.6363153438140325
182,-0.4267974850479112,-2.455756886969219,1.6284717861125404
183,-0.43755645364026724,-2.177131962397633,1.6400079376853842
184,-0.4677646235636427,-1.8907850472385714,1.6293598026659597
185,-0.4839089698033323,-1.5683823204654719,1.6262585416056576
186,-0.4859146432944235,-1.2714373889431771,1.6265437484845784
187,-0.49137210018728766,-0.9394150645911747,1.5762714571345622
188,-0.481016056681881,-0.8018499490317457,1.406768182283327
189,-0.4501635542712409,-0.6619515341320537,1.2227435690361264
190,-0.3899402646346608,-0.5315324702373831,1.0439427257254137
191,-0.29871473939954063,-0.41941352642245233,0.8592387055242566
192,-0.1770051073336051,-0.3003590030557357,0.6912656318344442
193,-0.031001507964153553,-0.19647342474250573,0.5196213176694969
194,0.13575098772672778,-0.11949696931931124,0.3465788764728344
195,0.31285852632948546,-0.07411384046368151,0.17052438936333178
196,0.61555964128622,-0.04869654061321482,0.08099826903845612
197,0.9027181517488463,-0.01054010645755392,0.22648711422264114
198,1.119661749315296,0.033799570563389184,0.06189784164027061
199,1.3928094753176306,0.013506419129618643,-0.0012594292046801015
200,1.7031257404314202,0.0009506280022365073,-0.02083887997522419
201,1.9237102465140037,-0.004863851378610477,0.032037038021077206
202,2.186138309933322,-0.010777897360325592,0.07644491165061369
203,2.533700635366613,6.696082989311505e-05,0.08618568837116525
204,2.809249841872766,0.02111432023915879,0.13408213757173426
205,3.0142492022733145,0.04935601798356686,0.13726561803161233
206,3.1738846196326524,0.08013915297259916,0.15531316245925472
207,3.349434696264421,0.12423728991638487,0.20958954979655842
208,3.67482253800921,0.20308509043912285,0.37218184486441347
209,3.9477221071675346,0.29878358280984463,0.3700459298456711
210,4.1673397704852,0.3647535254854019,0.21987089646061028
211,4.328022327170577,0.3894164909817203,0.03148524687824369
212,4.632229917845604,0.35755514227557,-0.12438056566917624
213,4.865299457463946,0.3336046482716046,0.06194456553382747
214,5.113689094442181,0.3534284471585792,0.1324695431100258
215,5.390120139346827,0.3826358867504823,0.10242718019843473
216,5.72805311333758,0.3987165912107393,0.09501810560835085
