timestamp,x_wheel,y_wheel,theta_wheel,x_ekf,y_ekf,theta_ekf,imu_corrected,innovation,innovation_cov,nis,kalman_gain,P
1769098251.7443135,4.2175054357647666,-16.310574919219995,2.49955405901084,2.551610548213204,-15.23750208122921,2.564113752668154,2.5649301033580234,0.001118527968790417,0.13701562118716426,9.131110789604044e-06,0.2701562118716424,"[[ 0.00672336 -0.00121232 -0.00022162]
 [-0.00121232  0.01408508 -0.00035678]
 [-0.00022162 -0.00035678  0.02701562]]"
1769098251.7985468,4.213885150016867,-16.307850965770964,2.4935427709670828,2.547811831504107,-15.23503318715475,2.5584593158019406,2.559423371425213,0.0013209068008164238,0.13701562118716426,1.2734276291457878e-05,0.2701562118716424,"[[ 0.00672402 -0.00121131 -0.00021051]
 [-0.00121131  0.01408664 -0.00033524]
 [-0.00021051 -0.00033524  0.02701562]]"
1769098251.8566785,4.210038777554971,-16.30492244795078,2.4881642500858585,2.5437799692985625,-15.232365591392881,2.5526138918138916,2.5513525240673833,-0.001728270853333047,0.13701562118716426,2.1799851116248896e-05,0.2701562118716424,"[[ 0.00672475 -0.00121019 -0.00020613]
 [-0.00121019  0.01408834 -0.00032424]
 [-0.00020613 -0.00032424  0.02701562]]"
1769098251.9010963,4.204329990806784,-16.300512835913477,2.4796218933920637,2.5377765369116756,-15.228366590020762,2.544696542769449,2.5463850397588472,0.0023135046387503526,0.13701562118716426,3.9063456174884734e-05,0.2701562118716424,"[[ 0.00672611 -0.00120812 -0.00022945]
 [-0.00120812  0.01409148 -0.00035491]
 [-0.00022945 -0.00035491  0.02701562]]"
1769098251.9494934,4.200523813045193,-16.297532261964946,2.4748761396733254,2.533773682339541,-15.22565611094085,2.540494334302502,2.5419627555645494,0.0020119665138387255,0.13701562118716426,2.954414407448291e-05,0.2701562118716424,"[[ 0.00672689 -0.00120697 -0.00022104]
 [-0.00120697  0.01409319 -0.00033787]
 [-0.00022104 -0.00033787  0.02701562]]"
1769098252.0035787,4.196811236562726,-16.294596456445422,2.470130385954587,2.5298628768493963,-15.222990418645363,2.536675802524801,2.5391807501963504,0.0034321696125867436,0.13701562118716426,8.597405279411584e-05,0.2701562118716424,"[[ 0.00672764 -0.00120587 -0.00021411]
 [-0.00120587  0.0140948  -0.00032355]
 [-0.00021411 -0.00032355  0.02701562]]"
1769098252.0494893,4.191175755471472,-16.29009351648255,2.464751865073316,2.5239173623855646,-15.218906015033289,2.5326662274417164,2.536364519552673,0.005067237909143429,0.13701562118716426,0.0001874012598372667,0.2701562118716424,"[[ 0.00672908 -0.00120376 -0.00023715]
 [-0.00120376  0.01409788 -0.00035314]
 [-0.00023715 -0.00035314  0.02701562]]"
1769098252.0949316,4.187570023240942,-16.28718615341612,2.461271645679596,2.5201106511610765,-15.216267538671318,2.5300700791679014,2.5324584522156868,0.003272444167690125,0.13701562118716426,7.815817450493983e-05,0.2701562118716424,"[[ 0.00672983 -0.00120268 -0.00022532]
 [-0.00120268  0.01409944 -0.00033265]
 [-0.00022532 -0.00033265  0.02701562]]"
1769098252.159054,4.1839342006709135,-16.284235497505332,2.4584241934483155,2.516270585747875,-15.213588294530346,2.5279892989269803,2.5300605109336156,0.0028378839969946945,0.13701562118716426,5.877859408014019e-05,0.2701562118716424,"[[ 0.00673059 -0.00120159 -0.00021745]
 [-0.00120159  0.014101   -0.00031837]
 [-0.00021745 -0.00031837  0.02701562]]"
1769098252.1977844,4.178603001534401,-16.279879502587637,2.4546275904733528,2.510638883183318,-15.209628538847339,2.5245437697209465,2.5254922173159593,0.0012995213639417356,0.13701562118716426,1.2325279122985087e-05,0.2701562118716424,"[[ 0.00673197 -0.00119962 -0.00023687]
 [-0.00119962  0.01410382 -0.00034334]
 [-0.00023687 -0.00034334  0.02701562]]"
1769098252.2487948,4.174988747762223,-16.276902468889425,2.4505146039171004,2.5068238835734102,-15.206913382074305,2.5199556540247894,2.5186720631389248,-0.001758720025769378,0.13701562118716426,2.2574769958653487e-05,0.2701562118716424,"[[ 0.00673275 -0.00119851 -0.0002263 ]
 [-0.00119851  0.01410538 -0.00032589]
 [-0.0002263  -0.00032589  0.02701562]]"
1769098252.309037,4.17136777517155,-16.273893850238508,2.446085233779605,2.502999237937325,-15.204168238432016,2.5152257923977124,2.5144139959724625,-0.0011122879148315334,0.13701562118716426,9.029513531090579e-06,0.2701562118716424,"[[ 0.00673353 -0.00119741 -0.00021922]
 [-0.00119741  0.01410693 -0.00031331]
 [-0.00021922 -0.00031331  0.02701562]]"
1769098252.350429,4.166099141176905,-16.269462405666857,2.4384920278295863,2.4974170580439554,-15.200139020993028,2.5081524313317813,2.5095568245782416,0.0019242381305479837,0.13701562118716426,2.7023870351227296e-05,0.2701562118716424,"[[ 0.00673496 -0.00119543 -0.00023957]
 [-0.00119543  0.01410969 -0.00033864]
 [-0.00023957 -0.00033864  0.02701562]]"
